q2,q3,s1,s2,s3,q6,q8,q10,q12,p
9,5,2,100,100,19,9,14,5,1
3,13,1,100,100,13,13,3,9,5
1,15,99,100,100,8,2,8,9,1
4,1,1,14,100,18,7,3,1,17
10,2,1,16,100,14,13,13,3,4
3,1,1,100,100,14,13,10,5,6
4,9,100,100,21,14,11,1,7,9
1,5,100,100,100,1,1,13,5,2
1,6,1,100,21,17,2,7,10,8
8,6,1,16,100,1,10,1,7,17
4,1,6,100,100,13,7,3,9,17
8,12,7,100,100,11,13,13,9,2
4,9,7,15,100,19,9,13,5,1
2,4,100,15,100,19,13,10,5,2
4,1,6,100,100,1,10,1,4,8
10,12,100,15,100,1,9,1,3,17
8,5,3,100,100,15,11,13,7,7
4,1,7,100,100,8,1,7,10,4
10,6,99,100,100,14,9,1,5,8
4,9,100,14,100,1,13,13,5,5
10,12,99,100,100,17,9,13,5,6
1,19,99,100,100,1,10,13,6,7
8,6,99,100,100,15,16,12,2,17
6,3,100,13,100,17,13,1,3,1
6,3,6,100,100,17,11,7,6,13
4,19,3,100,100,13,9,1,6,13
3,19,100,100,100,16,12,1,10,1
1,19,1,100,23,11,17,12,2,17
8,6,1,100,100,13,9,8,5,13
1,6,100,12,21,13,13,13,10,7
4,6,99,100,100,19,13,1,5,6
1,9,99,100,100,9,9,6,7,3
1,6,1,100,100,19,9,1,3,2
2,12,99,100,100,16,6,14,9,4
4,9,6,13,100,15,2,1,6,14
9,13,2,100,100,1,11,1,6,6
1,10,1,100,100,12,16,13,4,10
1,10,1,100,100,4,11,3,5,1
2,5,1,100,100,17,13,13,11,5
3,6,2,100,100,19,9,14,3,2
1,8,99,100,100,11,3,1,1,3
3,3,3,100,100,1,13,8,4,17
4,9,100,100,23,1,13,10,6,7
4,6,3,100,100,17,6,9,3,14
1,6,99,100,100,6,10,9,5,18
1,10,1,100,100,15,11,13,5,7
4,12,1,13,100,17,9,6,10,6
4,6,7,100,100,19,4,1,5,2
1,6,1,100,21,19,13,3,10,9
8,6,99,100,100,7,4,3,10,8
4,12,7,100,100,1,4,13,4,1
1,15,100,100,23,15,13,6,3,2
4,9,99,100,100,3,15,13,3,6
1,9,2,100,100,13,4,5,10,17
10,2,2,13,23,19,9,13,6,2
4,12,100,100,23,17,10,13,5,2
1,4,1,100,100,17,13,1,3,5
2,6,4,100,100,17,16,1,7,17
8,6,100,11,100,1,9,8,5,6
6,10,1,13,100,15,4,7,10,9
10,9,7,100,100,13,13,3,5,2
4,9,100,100,21,3,13,8,5,2
2,6,1,100,100,13,10,7,10,7
4,19,99,100,100,3,4,10,9,17
8,15,99,100,100,1,13,1,12,17
9,2,1,100,100,17,9,1,5,13
4,1,7,100,100,7,6,1,2,3
1,19,1,100,23,15,13,13,12,4
4,3,100,13,100,15,8,13,4,7
4,5,100,13,100,6,11,8,5,13
2,3,99,100,100,1,9,13,4,13
4,1,100,11,100,13,5,3,6,10
8,19,2,13,100,1,9,1,11,18
4,1,1,100,100,17,9,13,5,13
1,11,1,100,100,13,11,6,11,4
1,6,2,100,100,13,13,5,11,13
4,2,6,100,100,15,9,13,5,2
1,5,99,100,100,6,13,1,3,6
4,3,100,100,21,4,9,13,6,17
2,5,1,100,100,17,13,1,3,17
4,9,100,12,100,15,10,13,5,6
1,3,7,13,100,17,10,14,6,6
8,1,100,100,100,18,6,13,3,1
2,10,99,100,100,15,13,1,6,9
4,6,100,13,100,13,4,13,5,17
3,15,100,100,100,19,10,5,9,2
1,5,7,100,100,9,2,7,8,12
4,12,4,12,100,14,11,1,7,13
1,6,2,100,100,13,5,13,3,19
1,18,99,100,100,8,6,10,4,1
3,9,2,100,22,4,9,13,13,17
4,9,100,11,21,17,10,10,5,8
4,6,99,100,100,6,16,8,3,17
1,2,99,100,100,13,4,13,5,1
8,20,1,100,100,13,4,3,10,5
4,1,1,100,100,7,6,2,1,1
2,5,99,100,100,4,15,2,4,12
9,8,1,100,100,17,9,6,5,13
1,6,6,100,100,8,4,7,6,2
10,20,99,100,100,17,2,7,6,14
3,12,2,100,100,14,13,1,4,17
1,15,99,100,100,17,1,8,7,17
4,10,100,11,100,17,9,13,6,6
1,3,100,12,100,17,10,8,6,11
4,1,6,100,100,16,9,14,3,6
4,12,100,13,100,8,3,3,5,17
